,Countries,Total Cases,Todays Deaths,Total Recovered
0,North America,"3,932,960","185,327","1,809,277"
1,South America,"2,852,809","103,966","1,864,277"
2,Asia,"2,907,894","68,929","2,007,029"
3,Europe,"2,559,849","196,338","1,504,792"
4,Africa,"581,595","13,029","287,924"
5,Oceania,"11,460",130,"9,331"
6,,721,15,651
7,World,"12,847,288","567,734","7,483,281"
8,USA,"3,355,646","137,403","1,490,446"
9,Brazil,"1,840,812","71,492","1,213,512"
10,India,"850,358","22,687","536,231"
11,Russia,"720,547","11,205","497,446"
12,Peru,"322,710","11,682","214,152"
13,Chile,"312,029","6,881","281,114"
14,Spain,"300,988","28,403",N/A
15,Mexico,"295,268","34,730","180,852"
16,UK,"288,953","44,798",N/A
17,South Africa,"264,184","3,971","127,715"
18,Iran,"255,117","12,635","217,666"
19,Pakistan,"248,872","5,197","156,700"
20,Italy,"242,827","34,945","194,579"
21,Saudi Arabia,"229,480","2,181","165,396"
22,Turkey,"211,981","5,344","193,217"
23,Germany,"199,812","9,134","184,500"
24,Bangladesh,"181,129","2,305","88,034"
25,France,"170,752","30,004","78,388"
26,Colombia,"145,362","5,119","61,186"
27,Canada,"107,347","8,773","71,266"
28,Qatar,"103,128",146,"98,934"
29,Argentina,"97,509","1,810","41,408"
30,Egypt,"81,158","3,769","23,876"
31,Iraq,"75,194","3,055","43,079"
32,Sweden,"74,898","5,526",N/A
33,Indonesia,"74,018","3,535","34,719"
34,Ecuador,"67,209","5,031","30,107"
35,Belarus,"64,767",459,"54,919"
36,Belgium,"62,606","9,782","17,196"
37,Kazakhstan,"58,253",264,"33,814"
38,Oman,"54,697",248,"35,255"
39,UAE,"54,453",331,"44,648"
40,Philippines,"54,222","1,372","14,037"
41,Kuwait,"54,058",386,"43,961"
42,Ukraine,"52,843","1,372","25,661"
43,Netherlands,"50,921","6,137",N/A
44,Bolivia,"47,200","1,754","14,333"
45,Portugal,"46,221","1,654","30,655"
46,Singapore,"45,783",26,"42,026"
47,Panama,"44,332",893,"22,170"
48,Dominican Republic,"43,114",880,"20,996"
49,Poland,"37,521","1,568","26,635"
50,Israel,"37,464",354,"18,814"
51,Afghanistan,"34,366",994,"21,135"
52,Switzerland,"32,817","1,968","29,500"
53,Bahrain,"32,470",104,"27,828"
54,Romania,"32,079","1,871","21,414"
